sender_id,receiver_id,amount_paid,txn_time
UPL_CUST_1,UPL_RCV_0,9900.0,2026-07-24 21:43:02
UPL_CUST_1,UPL_RCV_1,9900.0,2026-07-24 21:43:02
UPL_CUST_1,UPL_RCV_2,9900.0,2026-07-24 21:43:02
UPL_CUST_1,UPL_RCV_3,9900.0,2026-07-24 21:43:02
UPL_CUST_1,UPL_RCV_4,9900.0,2026-07-24 21:43:02
UPL_CUST_1,UPL_RCV_5,9900.0,2026-07-24 21:43:02
UPL_CUST_1,UPL_RCV_6,9900.0,2026-07-24 21:43:02
UPL_CUST_1,UPL_RCV_7,9900.0,2026-07-24 21:43:02
UPL_CUST_1,UPL_RCV_8,9900.0,2026-07-24 21:43:02
UPL_CUST_1,UPL_RCV_9,9900.0,2026-07-24 21:43:02
UPL_CUST_2,UPL_CUST_3,25000.0,2026-07-25 21:43:02
UPL_CUST_3,UPL_CUST_4,25000.0,2026-07-25 21:43:02
UPL_CUST_4,UPL_CUST_2,25000.0,2026-07-25 21:43:02
UPL_CUST_11,UPL_RCV_13,775.04,2026-07-19 21:43:02
UPL_CUST_16,UPL_RCV_15,806.2,2026-07-19 21:43:02
UPL_CUST_17,UPL_RCV_11,994.02,2026-07-22 21:43:02
UPL_CUST_17,UPL_RCV_13,1050.91,2026-07-17 21:43:02
UPL_CUST_18,UPL_RCV_14,884.9,2026-07-21 21:43:02
UPL_CUST_12,UPL_RCV_13,751.07,2026-07-16 21:43:02
UPL_CUST_12,UPL_RCV_15,1738.55,2026-07-21 21:43:02
UPL_CUST_11,UPL_RCV_17,732.0,2026-07-21 21:43:02
UPL_CUST_15,UPL_RCV_20,210.23,2026-07-16 21:43:02
UPL_CUST_14,UPL_RCV_13,1546.27,2026-07-21 21:43:02
UPL_CUST_19,UPL_RCV_12,1030.2,2026-07-22 21:43:02
UPL_CUST_12,UPL_RCV_19,924.05,2026-07-17 21:43:02
UPL_CUST_16,UPL_RCV_16,1934.12,2026-07-17 21:43:02
UPL_CUST_10,UPL_RCV_10,1114.19,2026-07-18 21:43:02
UPL_CUST_10,UPL_RCV_15,1538.01,2026-07-20 21:43:02
UPL_CUST_10,UPL_RCV_20,107.84,2026-07-20 21:43:02
UPL_CUST_13,UPL_RCV_15,692.98,2026-07-22 21:43:02
UPL_CUST_16,UPL_RCV_18,1218.47,2026-07-21 21:43:02
UPL_CUST_11,UPL_RCV_10,666.58,2026-07-19 21:43:02
UPL_CUST_17,UPL_RCV_18,1233.1,2026-07-18 21:43:02
